,state,positiveCases,deaths
0,Alabama,1300733,19567
1,Alaska,251388,1212
2,Arizona,2021524,29951
3,Arkansas,835916,11392
4,California,9237134,90422
5,Colorado,1390127,12366
6,Connecticut,758281,10850
7,Delaware,262461,2907
8,District of Columbia,141943,1340
9,Florida,5925668,73948
10,Georgia,2445476,36349
11,Hawaii,241955,1415
12,Idaho,446138,4930
13,Illinois,3144347,37898
14,Indiana,1702292,23587
15,Iowa,763782,9529
16,Kansas,776663,8635
17,Kentucky,1337141,15418
18,Louisiana,1238011,17248
19,Maine,245080,2286
20,Maryland,1031797,14456
21,Massachusetts,1757103,20263
22,Michigan,2425946,36002
23,Minnesota,1452817,12778
24,Mississippi,797575,12444
25,Missouri,1433608,20199
26,Montana,274221,3363
27,Nebraska,479989,4197
28,Nevada,719451,10774
29,New Hampshire,309982,2480
30,New Jersey,2263991,33434
31,New Mexico,522329,7501
32,New York,5154714,67694
33,North Carolina,2661333,23415
34,North Dakota,241127,2315
35,Ohio,2697058,38428
36,Oklahoma,1040982,14271
37,Oregon,721311,7502
38,Pennsylvania,2821667,44678
39,Rhode Island,371629,3540
40,South Carolina,1474272,17767
41,South Dakota,237812,2912
42,Tennessee,1981990,25895
43,Texas,6754068,88305
44,Utah,932480,4747
45,Vermont,123842,637
46,Virginia,1701458,20236
47,Washington,1498708,12747
48,West Virginia,501204,6856
49,Wisconsin,1610673,14413
50,Wyoming,156550,1812
51,Puerto Rico,576096,4210
